News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@CBS,Thu Mar 29 17:30:02 +0000 2018,0.0,0.0,1.0,0.0,7,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R"
@CBS,Tue Mar 27 21:00:01 +0000 2018,0.3818,0.212,0.68,0.108,8,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
@CBS,Tue Mar 27 17:00:00 +0000 2018,0.296,0.099,0.901,0.0,9,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
@CBS,Mon Mar 26 22:14:25 +0000 2018,0.508,0.12,0.88,0.0,10,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
@CBS,Mon Mar 26 20:42:48 +0000 2018,0.0,0.0,1.0,0.0,11,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
@CBS,Mon Mar 26 16:59:19 +0000 2018,0.7959,0.214,0.786,0.0,12,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
@CBS,Mon Mar 26 16:05:18 +0000 2018,0.807,0.378,0.622,0.0,13,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
@CBS,Sun Mar 25 23:57:34 +0000 2018,0.0,0.0,1.0,0.0,14,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
@CBS,Sun Mar 25 17:15:25 +0000 2018,0.5319,0.157,0.78,0.062,15,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
@CBS,Sat Mar 24 22:46:53 +0000 2018,0.5399,0.199,0.801,0.0,16,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
